"","NAME_1","GID_2","GID_0","NAME_0","GID_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","total_pop","mean_hiv_pop_weighted","mean_anaemia_pop_weighted","mean_overweight_pop_weighted","mean_smoker_pop_weighted","mean_resp_risk_pop_weighted","mean_resp_risk_improved_1_pop_weighted","mean_resp_risk_improved_2_pop_weighted","VLS","not_vls","prop_HIV_no_vls","prop_comorbidities","severe_covid_risk","prop_comorbidities_improved_1","severe_covid_risk_improved_1","prop_comorbidities_improved_2","severe_covid_risk_improved_2"
"1","Bulawayo","ZWE.1.1_1","ZWE","Zimbabwe","ZWE.1_1",NA,"Bulawayo",NA,NA,"District","District",NA,"ZW.BU.BL",733348.377480507,0.146274566351052,0.0526253605514797,0.327598220686169,0.0864504736680919,0.323845396768049,0.318502327311233,0.13848154855099,62.8,0.372,0.0544141386825914,0.614149255547153,0.107426660770975,0.611100208306002,0.107147625374724,0.508370520199756,0.0981126702484289
"2","Harare","ZWE.2.1_1","ZWE","Zimbabwe","ZWE.2_1",NA,"Harare","Salisbury|Harare Urban",NA,"District","District",NA,"ZW.HA",2511295.3643384,0.148319576622747,0.0450859289630139,0.349741598163354,0.0766363342029053,0.426844704440056,0.342613431275864,0.152475369520402,57.4,0.426,0.0631841396412904,0.681623428088469,0.113242942363759,0.634834601036701,0.108830514550446,0.529216621475913,0.0994221168438715
"3","Manicaland","ZWE.3.1_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Buhera",NA,NA,"District","District",NA,"ZW.MA.BH",293197.748624325,0.123818871632013,0.0231427145423571,0.184367009158295,0.0780644364535827,0.366596536201086,0.288082736171874,0.122301817043191,60.5,0.395,0.0489084542946452,0.531122083244963,0.0996532258878094,0.473002118485967,0.0947801479704731,0.35028253066971,0.0851864541166001
"4","Manicaland","ZWE.3.2_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Chimanimani",NA,NA,"District","District",NA,"ZW.MA.CM",159602.680903912,0.126541317684266,0.0176586376258438,0.242537443533295,0.080169327846263,0.380911069290811,0.309722070881707,0.134596655541504,60.5,0.395,0.0499838204852849,0.570097400169011,0.103148065199568,0.520662926416784,0.098859591625832,0.399053788186851,0.0889794972152855
"5","Manicaland","ZWE.3.3_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Chipinge",NA,NA,"District","District",NA,"ZW.MA.CP",385824.172568798,0.111992617901987,0.0210036181116829,0.235218952776959,0.0609865532106581,0.478327914330534,0.392270729832281,0.182150167779052,60.5,0.395,0.0442370840712849,0.634533928854947,0.108000050557471,0.57424513446408,0.102574475240188,0.427041673918867,0.0903313689877462
"6","Manicaland","ZWE.3.4_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Makoni",NA,NA,"District","District",NA,"ZW.MA.MN",360791.781808376,0.15064086279319,0.027185955173414,0.194408185134868,0.0875387938136529,0.423877095028149,0.352512143071802,0.158136404520281,60.5,0.395,0.0595031408033102,0.586907604337488,0.105010418364647,0.535737413540391,0.100503174261809,0.396365868330188,0.089088351454484
"7","Manicaland","ZWE.3.5_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Mutare","Umtali",NA,"District","District",NA,"ZW.MA.MR",536205.171864986,0.102993335340696,0.0259495663789613,0.262019099811724,0.0810136003223125,0.383968360998638,0.318633276402481,0.143553999390892,60.5,0.395,0.0406823674595748,0.586216227494518,0.104623549471313,0.542331147460337,0.100760021210827,0.424731727003902,0.0910256228857794
"8","Manicaland","ZWE.3.6_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Mutasa",NA,NA,"District","District",NA,"ZW.MA.MS",200209.541516781,0.076535806565223,0.0249061553290387,0.208567713036611,0.0829436861089935,0.510409709985028,0.435187625449931,0.210055204100202,60.5,0.395,0.0302316435932631,0.642721075532384,0.10989046871315,0.58782769629872,0.104863975982666,0.423537123133632,0.0910159179852178
"9","Manicaland","ZWE.3.7_1","ZWE","Zimbabwe","ZWE.3_1",NA,"Nyanga",NA,NA,"District","District",NA,"ZW.MA.NY",150656.221906662,0.0840057715447036,0.0260636506339384,0.190466116601802,0.0746187015937175,0.445463552549646,0.374066747047742,0.170108173484216,60.5,0.395,0.0331822797601579,0.588309468729342,0.104493110092837,0.535304136215579,0.0998478767035298,0.383884308188692,0.087575875959587
"10","Mashonaland Central","ZWE.4.1_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Bindura",NA,NA,"District","District",NA,"ZW.MC.BD",202503.369071484,0.16988754157901,0.0301165014429539,0.212705408778039,0.114836555619478,0.445729257886532,0.394602704817626,0.184231104525609,59.1,0.409,0.0694840045058151,0.618036199393291,0.109240381144772,0.58280343129217,0.106007349222857,0.437830352466363,0.0935777541521554
"11","Mashonaland Central","ZWE.4.2_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Centenary","Muzarambani",NA,"District","District",NA,"ZW.MC.MZ",147536.318279266,0.129382773300002,0.0340063691442452,0.18508473472477,0.123161827832003,0.480124856283221,0.416498863494957,0.199447227937961,59.1,0.409,0.052917554279701,0.625589672459252,0.110377710523303,0.579766691522627,0.106151104643064,0.423447669649131,0.0927897744395059
"12","Mashonaland Central","ZWE.4.3_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Guruve","Sipolilo",NA,"District","District",NA,"ZW.MC.GV",248322.478363037,0.113286289893417,0.0355440970349322,0.203231321872307,0.117463366896008,0.505432605962816,0.429927351172712,0.208283774627121,59.1,0.409,0.0463340925664074,0.650442405346368,0.112429114800024,0.597075694223972,0.107440309400234,0.440419197208967,0.0939063178851723
"13","Mashonaland Central","ZWE.4.4_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Mazowe",NA,NA,"District","District",NA,"ZW.MC.ME",294676.356823921,0.148058679994292,0.0273805135692192,0.219498022394292,0.125375174413737,0.384684841934951,0.328943857211637,0.145720084874165,59.1,0.409,0.0605560001176653,0.573196028962776,0.105667805600085,0.534532145394154,0.102227056334579,0.407441771303636,0.0916080236813676
"14","Mashonaland Central","ZWE.4.5_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Mount Darwin","Mt Darwin",NA,"District","District",NA,"ZW.MC.MD",256186.519970894,0.112230188846095,0.0319644443442069,0.163496928125791,0.124523830207727,0.388183714480893,0.328732201241674,0.144713146950784,59.1,0.409,0.045902147238053,0.542423080932338,0.102879418169572,0.497959340908107,0.099023829309684,0.360331634838258,0.0878941227981547
"15","Mashonaland Central","ZWE.4.6_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Rushinga",NA,NA,"District","District",NA,"ZW.MC.RU",89032.3919038773,0.0687341581198465,0.0298415637832397,0.134485069473881,0.107128511963227,0.492149662600968,0.415525638013128,0.196990295808446,59.1,0.409,0.0281122706710172,0.59792067944897,0.10699266322212,0.537255295426676,0.101579087226687,0.364234750909434,0.087454115113223
"16","Mashonaland Central","ZWE.4.7_1","ZWE","Zimbabwe","ZWE.4_1",NA,"Shamva",NA,NA,"District","District",NA,"ZW.MC.SM",149121.838952065,0.10638374663362,0.0273618653425804,0.175323116184443,0.124380790182041,0.396068269369218,0.341328254080152,0.152336893079364,59.1,0.409,0.0435109523731505,0.549334557667728,0.103483494084466,0.508486508207309,0.0999180593634618,0.367457529296995,0.0884353965971237
"17","Mashonaland East","ZWE.5.1_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Chikomba",NA,NA,"District","District",NA,"ZW.ME.CK",147964.336756706,0.155650503213753,0.034682247738188,0.178395090006103,0.092335450453726,0.29073128994482,0.227986866358486,0.0920824062934296,53.7,0.463,0.0720661829879675,0.496115017471295,0.0973554065534604,0.451539566257447,0.0936761579330341,0.354989111521997,0.0861317713502905
"18","Mashonaland East","ZWE.5.2_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Goromonzi",NA,NA,"District","District",NA,"ZW.ME.GM",359301.684752464,0.168375361839005,0.0393553323523212,0.244397951952606,0.091528015559603,0.388573561306806,0.304911389032887,0.131218124733152,53.7,0.463,0.0779577925314595,0.606890358867282,0.107020619839682,0.55310072132842,0.10220707168422,0.441426622082769,0.0928228876989391
"19","Mashonaland East","ZWE.5.3_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Marondera","Marandellas",NA,"District","District",NA,"ZW.ME.MA",217849.649081707,0.146799724680035,0.0412527787217309,0.266329952261692,0.0876451455781835,0.490292437038473,0.420089852824208,0.203403387115787,53.7,0.463,0.0679682725268561,0.679623391311197,0.113638242409836,0.635497568023278,0.109460099860512,0.499299324016319,0.0974040867804752
"20","Mashonaland East","ZWE.5.4_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Mudzi",NA,NA,"District","District",NA,"ZW.ME.MI",161485.449111938,0.143867893460492,0.02817057789316,0.197081589747287,0.0844955921860838,0.489836285765376,0.410224267293061,0.193690289501858,53.7,0.463,0.0666108346722079,0.638903047157748,0.109614477757739,0.582553180481905,0.10446885418003,0.429289125462783,0.0915401034460131
"21","Mashonaland East","ZWE.5.5_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Murehwa",NA,NA,"District","District",NA,"ZW.ME.MU",242311.343091011,0.183604514238923,0.0293002574413224,0.183382155499992,0.0960889839554454,0.475298813904157,0.399682936164194,0.186787724993167,53.7,0.463,0.0850088900926214,0.630582372310332,0.109439047571064,0.577344760293068,0.104578839663056,0.42745517372193,0.0919066194462917
"22","Mashonaland East","ZWE.5.6_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Mutoko",NA,NA,"District","District",NA,"ZW.ME.MO",177829.479626656,0.169773182194992,0.0281959820231751,0.163674116078981,0.0872153812706464,0.405421001912565,0.33550930524079,0.148787786043447,53.7,0.463,0.0786049833562814,0.567298557709301,0.103246582984937,0.516420723005799,0.0988315651245554,0.380535212546649,0.0878546743665562
"23","Mashonaland East","ZWE.5.7_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Seke",NA,NA,"District","District",NA,"ZW.ME.SE",125493.320072174,0.162533132301665,0.0439520846948347,0.227982648896862,0.0932230446661012,0.315999759368762,0.23807175247886,0.0973260099034647,53.7,0.463,0.0752528402556708,0.553660174294318,0.10233873118523,0.502808769650468,0.0979605255985983,0.410966067735709,0.0904748747681798
"24","Mashonaland East","ZWE.5.8_1","ZWE","Zimbabwe","ZWE.5_1",NA,"UMP","Murehwa U.M.P.",NA,"District","District",NA,"ZW.ME.MU",136623.620821953,0.124481954986876,0.0277449710047563,0.152421045714654,0.104514675384182,0.46682818238851,0.393105142218114,0.181552624437037,53.7,0.463,0.0576351451589234,0.59744351510168,0.106816709299698,0.541780993327813,0.101847468758886,0.382054175224694,0.0887103340362274
"25","Mashonaland East","ZWE.5.9_1","ZWE","Zimbabwe","ZWE.5_1",NA,"Wedza","Hwedza",NA,"District","District",NA,"ZW.ME.WE",86580.243976593,0.135704178613471,0.0293183078962707,0.181975663404141,0.0954665107655647,0.339194506960684,0.271507546398875,0.113576983135834,53.7,0.463,0.062831034698037,0.522678008222516,0.0997578571700219,0.473785444263754,0.09564008742213,0.35970689647122,0.0866186196235517
"26","Mashonaland West","ZWE.6.1_1","ZWE","Zimbabwe","ZWE.6_1",NA,"Chegutu",NA,NA,"District","District",NA,"ZW.MW.CG",335499.946342945,0.131949435492236,0.0466704321505344,0.237463523736158,0.0868500616641297,0.374072412441415,0.329386021831821,0.148053414901317,58.1,0.419,0.0552868134712467,0.590201070118817,0.105272118520387,0.56094459474362,0.10266795500564,0.442224938109648,0.0926781992833058
"27","Mashonaland West","ZWE.6.2_1","ZWE","Zimbabwe","ZWE.6_1",NA,"Hurungwe","Karoi|Urungwe",NA,"District","District",NA,"ZW.MW.HU",438961.919353008,0.0972431786456748,0.0298701382973089,0.168241731793071,0.0833757205590517,0.518991405465586,0.494668539158694,0.252872942389633,58.1,0.419,0.0407448918525378,0.638803253842614,0.109547192560497,0.620538839719672,0.107856387455825,0.438970809999322,0.0922625511345655
"28","Mashonaland West","ZWE.6.3_1","ZWE","Zimbabwe","ZWE.6_1",NA,"Kadoma","Gatooma",NA,"District","District",NA,"ZW.MW.KD",379118.002906322,0.163993594038882,0.0529362217351821,0.204680796650923,0.0793770517760965,0.39983487096795,0.378435518219623,0.180869288703764,58.1,0.419,0.0687133159022917,0.601292804092121,0.105898507336547,0.587076590060676,0.104619211102597,0.455827582802618,0.0934404977551205
"29","Mashonaland West","ZWE.6.4_1","ZWE","Zimbabwe","ZWE.6_1",NA,"Kariba",NA,NA,"District","District",NA,"ZW.MW.KR",82819.7550458908,0.102697557204039,0.0335789626536795,0.249783783208319,0.0596263746560997,0.540580714421209,0.492044415855301,0.250151292187536,58.1,0.419,0.0430302764684923,0.691946166142303,0.113327073444208,0.659401183108661,0.110239683414319,0.49720489211972,0.0959310785510791
"30","Mashonaland West","ZWE.6.5_1","ZWE","Zimbabwe","ZWE.6_1",NA,"Makonde","Lomagundi",NA,"District","District",NA,"ZW.MW.MK",283186.680644989,0.155136153006508,0.0310783439128524,0.229363854168281,0.0965030763309068,0.604190990891636,0.55025147494816,0.297854307621121,58.1,0.419,0.065002048109727,0.732253972818413,0.119295800202219,0.695766447851518,0.115681155184052,0.525031731691483,0.100009510214652
"31","Mashonaland West","ZWE.6.6_1","ZWE","Zimbabwe","ZWE.6_1",NA,"Zvimba",NA,NA,"District","District",NA,"ZW.MW.ZB",322108.997968197,0.135574701283272,0.0321949220059119,0.223145501179732,0.105321312809136,0.451102468643404,0.37568030143251,0.17311100870296,58.1,0.419,0.0568057998376908,0.623289368325685,0.1092375015147,0.571526824992614,0.104517036159636,0.432502686856361,0.0927212319708247
"32","Masvingo","ZWE.7.1_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Bikita",NA,NA,"District","District",NA,"ZW.MV.BK",194050.259245396,0.122674147306672,0.0222628376911911,0.230944325857755,0.0656674025166669,0.389133581012775,0.29733252840287,0.127442721223533,61,0.39,0.0478429174496019,0.572381112655507,0.102639178613812,0.508118513249267,0.0971200316288597,0.389192201278077,0.0876016044569183
"33","Masvingo","ZWE.7.2_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Chiredzi","Hartley",NA,"District","District",NA,"ZW.MV.CR",365229.238541603,0.113418795154895,0.0408391314211319,0.258575225158263,0.0573626067307111,0.420126785783438,0.32311058546623,0.141446011305098,61,0.39,0.0442333301104089,0.621962460295646,0.106664908274202,0.558714555787877,0.101041674371482,0.440281720844642,0.0912167928898122
"34","Masvingo","ZWE.7.3_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Chivi",NA,NA,"District","District",NA,"ZW.MV.CV",198648.32951355,0.183102951271873,0.0383033830919107,0.160733409519743,0.0781986859741992,0.405260470554872,0.28603343911974,0.120929549909941,61,0.39,0.0714101509960306,0.571326291274786,0.103159956971278,0.485390362662004,0.0958067886956664,0.366387516864025,0.0863989786448032
"35","Masvingo","ZWE.7.4_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Gutu",NA,NA,"District","District",NA,"ZW.MV.GT",242217.04450798,0.125403439255946,0.0268880094607005,0.171400326842807,0.0855244703338864,0.341739531529017,0.268415995026543,0.112989290096524,61,0.39,0.0489073413098189,0.508763069028801,0.0981023816315445,0.454044259735732,0.0935725592873993,0.338054706697345,0.0845863480608766
"36","Masvingo","ZWE.7.5_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Masvingo","Victoria",NA,"District","District",NA,"ZW.MV.MV",357465.33643055,0.150990558785058,0.0370406207027295,0.256552463732534,0.0781066365121853,0.382969489502268,0.301271985140989,0.129173305486293,61,0.39,0.0588863179261727,0.599672902031736,0.10568830804369,0.546667865366988,0.100995960201391,0.435010882741025,0.0917129781090137
"37","Masvingo","ZWE.7.6_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Mwenezi",NA,NA,"District","District",NA,"ZW.MV.MW",199273.976316929,0.170496297085413,0.044414862819027,0.191372803286738,0.0688859917797598,0.361294323916756,0.261234437265557,0.108853432274002,61,0.39,0.0664935558633111,0.559744071924167,0.101688261717456,0.490773402161331,0.0958242869758183,0.385738104549631,0.0874743990222646
"38","Masvingo","ZWE.7.7_1","ZWE","Zimbabwe","ZWE.7_1",NA,"Zaka",NA,NA,"District","District",NA,"ZW.MV.ZA",216680.090580463,0.0976010361562303,0.026769098255235,0.204764990121561,0.0690236675233243,0.480559658568089,0.386203716156661,0.177902209713478,61,0.39,0.0380644041009298,0.623635248477189,0.107409097522905,0.555268878005302,0.101304965281962,0.404342316355888,0.0889097312054599
"39","Matabeleland North","ZWE.8.1_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Binga",NA,NA,"District","District",NA,"ZW.MN.BG",162504.721411705,0.0722722863886942,0.0337572029865376,0.139927262665867,0.0717410526715273,0.413469235099667,0.28240295465851,0.120432131368357,65.3,0.347,0.0250784833768769,0.540835638322567,0.100186188282477,0.438230679473689,0.0916878902209848,0.311432164993329,0.082084572429373
"40","Matabeleland North","ZWE.8.2_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Bubi",NA,NA,"District","District",NA,"ZW.MN.BU",72770.5982303619,0.294689292998751,0.0357370924507628,0.207314824160787,0.108399923247366,0.298161421244118,0.230171259061072,0.0931540026266461,65.3,0.347,0.102257184670567,0.535612166115796,0.101497403105082,0.490624892549857,0.0976438828954699,0.399964235176003,0.0902727214457013
"41","Matabeleland North","ZWE.8.3_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Hwange","Wankie",NA,"District","District",NA,"ZW.MN.HW",161345.424577713,0.177688552408402,0.0306815420853814,0.246446491502201,0.0659869789965826,0.268398147026601,0.224350342250764,0.0905460247685245,65.3,0.347,0.0616579276857153,0.513947649583855,0.0976244701031071,0.484683728292576,0.0951887500625335,0.395788514668185,0.0881203126909539
"42","Matabeleland North","ZWE.8.4_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Lupane",NA,NA,"District","District",NA,"ZW.MN.LU",114047.586791515,0.169811775309726,0.0383048725645941,0.233020728513856,0.080272089995723,0.426748028855975,0.304973892416334,0.131512337035338,65.3,0.347,0.0589246860324748,0.61732649335302,0.107403406960253,0.536036348432511,0.100180872596415,0.420242343339753,0.0906388828366044
"43","Matabeleland North","ZWE.8.5_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Nkayi",NA,NA,"District","District",NA,"ZW.MN.NK",128757.374401569,0.190800329162509,0.0431957612383691,0.106465781555069,0.0770446234925101,0.264396450859875,0.195432573505966,0.0769876531505827,65.3,0.347,0.0662077142193906,0.438109786805287,0.0919128898941856,0.385431781384543,0.0877971404548419,0.294957718789123,0.0811157906421933
"44","Matabeleland North","ZWE.8.6_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Tsholotsho",NA,NA,"District","District",NA,"ZW.MN.TS",135417.855065823,0.210973170650706,0.0478370414056919,0.174071621589856,0.087411653999617,0.296828621600705,0.223507004429705,0.0901419720555633,65.3,0.347,0.0732076902157948,0.512012654731071,0.0984663098629913,0.461128869620888,0.0942337396309469,0.368576114916747,0.0869515236638146
"45","Matabeleland North","ZWE.8.7_1","ZWE","Zimbabwe","ZWE.8_1",NA,"Umguza",NA,NA,"District","District",NA,"ZW.MN.UG",115085.879945755,0.189251316737827,0.0416935377962021,0.198902095580807,0.117554170649982,0.341989283464954,0.276918286782365,0.116418777187372,65.3,0.347,0.065670206908026,0.547698952679532,0.103003423647011,0.502970684263627,0.0991211282841194,0.392647106759444,0.0900976149338658
"46","Matabeleland South","ZWE.9.1_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Beitbridge",NA,NA,"District","District",NA,"ZW.MS.BB",142971.180290222,0.204540279121345,0.0793662530428941,0.312847652860474,0.0871001321498115,0.244145862433853,0.181296094681159,0.0720625883537303,63.9,0.361,0.0738390407628055,0.592290078496474,0.105472795314242,0.558388730864143,0.102455385718126,0.499467859657808,0.0973928198220756
"47","Matabeleland South","ZWE.9.2_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Bulilima (North)","Bulalimamangwe|Bulilima",NA,"District","District",NA,"ZW.MS.BM",104876.951148987,0.265893752699704,0.0637491354972756,0.166578232369382,0.0995525567612782,0.291836923840794,0.228509263240973,0.0926102758553452,63.9,0.361,0.095987644724593,0.532311223814609,0.100783866366673,0.490488037769316,0.0972195412011449,0.400736915132516,0.0899483375064746
"48","Matabeleland South","ZWE.9.3_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Gwanda",NA,NA,"District","District",NA,"ZW.MS.GD",159609.588901758,0.22178164614306,0.0812366931459131,0.187466058790075,0.0799806800482778,0.283657285247902,0.202567994091702,0.080550458242086,63.9,0.361,0.0800631742576448,0.54801122579635,0.10120298257769,0.496846540854426,0.0968419379469902,0.419857474972597,0.0905958359575874
"49","Matabeleland South","ZWE.9.4_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Insiza",NA,NA,"District","District",NA,"ZW.MS.IN",117349.99926281,0.18427827190765,0.0596515283178089,0.18496096626627,0.0787491546121542,0.25319048002599,0.176317211628603,0.0689532677740445,63.9,0.361,0.0665244561586618,0.497577772844025,0.0968458929774408,0.445860651296997,0.0926088824355227,0.373630677863431,0.086970033529866
"50","Matabeleland South","ZWE.9.5_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Mangwe (South)","Bulalimamangwe South",NA,"District","District",NA,"ZW.MS.MG",91927.5466609001,0.218807761440132,0.0729868419807133,0.236494933837804,0.105372060849053,0.257004166235817,0.201589074551265,0.0800819973298965,63.9,0.361,0.0789896018798878,0.55101210517207,0.102699069498123,0.517525099960894,0.0997877218850959,0.444099107069483,0.0936598709466682
"51","Matabeleland South","ZWE.9.6_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Matobo",NA,NA,"District","District",NA,"ZW.MS.MT",111701.126564503,0.1829457672645,0.0636893514831311,0.180918455257265,0.104691264688507,0.237568194393108,0.181055844593051,0.0710765255353313,63.9,0.361,0.0660434219824846,0.488677673680397,0.0973070739180755,0.450777856341912,0.0941721781692039,0.377020595883875,0.0883298324050698
"52","Matabeleland South","ZWE.9.7_1","ZWE","Zimbabwe","ZWE.9_1",NA,"Umzingwane",NA,NA,"District","District",NA,"ZW.MS.UZ",73339.4358232021,0.197487806638825,0.0560716556457811,0.182221786678013,0.104521997792205,0.312377322711454,0.241858201499237,0.0989413318919167,63.9,0.361,0.0712930981966159,0.534689926297795,0.101229697511906,0.486970066885855,0.0971559687831847,0.390259092500167,0.0893464803831934
"53","Midlands","ZWE.10.1_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Chirumhanzu","Chirumanzu",NA,"District","District",NA,"ZW.MI.CH",95201.0797667503,0.178162316858334,0.0370070650964531,0.153936839643983,0.0970940142339178,0.32319231838361,0.247495641185231,0.101858206659811,59.4,0.406,0.0723339006444834,0.507386905175367,0.0985300458141999,0.452291232600288,0.0939518763488903,0.346289322024234,0.085677291931933
"54","Midlands","ZWE.10.2_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Gokwe North","Gokwe",NA,"District","District",NA,"ZW.MI.GN",285491.93370533,0.0935270096160072,0.0394371108563647,0.143923912711,0.0655862644474721,0.573039386151328,0.436006384114647,0.211779598194112,59.4,0.406,0.0379719659040989,0.675556172716512,0.112077246006402,0.571425931652439,0.102551184151609,0.401037857802333,0.0885070368941029
"55","Midlands","ZWE.10.3_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Gokwe South","Gokwe",NA,"District","District",NA,"ZW.MI.GS",391056.377611637,0.116276741972422,0.0534002769053013,0.133066242147806,0.0639577445449633,0.416075559079252,0.294918916745354,0.12649369002645,59.4,0.406,0.0472083572408032,0.567811453527496,0.102154477981811,0.478138013821479,0.0945591943660028,0.353478984632419,0.0848417691094342
"56","Midlands","ZWE.10.4_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Gweru","Gwelo",NA,"District","District",NA,"ZW.MI.GW",296580.177888393,0.128108067018389,0.0480761099121,0.33819000122793,0.0607053650966629,0.356898453200911,0.283722713711011,0.119955661742275,59.4,0.406,0.0520118752094659,0.634388179713187,0.107972263514342,0.59278679428829,0.10420294896181,0.499683037546744,0.0961864010325983
"57","Midlands","ZWE.10.5_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Kwekwe","Que Que",NA,"District","District",NA,"ZW.MI.KW",370449.012593269,0.152983883196743,0.0556052407593963,0.244171980793496,0.0641502285298247,0.298661272715031,0.237701441626261,0.0967493860232528,59.4,0.406,0.0621114565778777,0.55658622972593,0.101184194287371,0.518045040587577,0.0978838145364362,0.428929638897496,0.0906179572937718
"58","Midlands","ZWE.10.6_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Mberengwa","Mberingwe",NA,"District","District",NA,"ZW.MI.MB",219424.771044254,0.173099577055046,0.0522313902896973,0.162944969756963,0.0666173398279939,0.374035259516049,0.239185016298566,0.0976128251291163,59.4,0.406,0.0702784282843488,0.562416003381974,0.101811578960942,0.468148220301416,0.0938650635168609,0.369181423586949,0.086125014901835
"59","Midlands","ZWE.10.7_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Shurugwi","Selukwe",NA,"District","District",NA,"ZW.MI.SR",118206.245760918,0.143860114796956,0.039334459958754,0.268341682849812,0.0792036082174992,0.4347065996514,0.337293665170183,0.149268100406185,59.4,0.406,0.0584072066075641,0.640590311708534,0.109497815799791,0.578655832381762,0.103859325690293,0.459110460755307,0.0936987397652437
"60","Midlands","ZWE.10.8_1","ZWE","Zimbabwe","ZWE.10_1",NA,"Zvishavane","Shabani, Shavani",NA,"District","District",NA,"ZW.MI.ZV",140531.383300781,0.267236698835733,0.0529589518195321,0.273377960318453,0.0649740273930291,0.387214967296008,0.253065265824317,0.104416392994557,59.4,0.406,0.108498099727308,0.64397819676083,0.109077927191016,0.566038599556245,0.102048617492812,0.479675132875613,0.0947312551129761
